# x1 x2 x3
# 100 3
# 100 3
          37           39           31
          15           34           14
          31           40           37
          35           44            6
          15           14            2
           7            1            8
           7           35            6
           8           35            7
          14           34           13
           6           44           31
           9           35            8
          33           35            9
          36           39           37
          34           41           13
          42           45           40
          33           42           40
          36           37           32
          17           36           32
          17           32           16
           6           31            5
          18           36           17
          12           30           11
          10           33            9
          15           46           34
           5           39            4
          34           46           38
          37           38           32
          31           39            5
          38           41           34
          12           41           30
          16           46           15
           4           43            0
           0           43           18
          13           41           12
          38           46           32
          30           45           42
          30           41           38
          11           42           10
          30           42           11
          10           42           33
          33           44           35
          39           43            4
          40           44           33
          18           43           36
          32           46           16
          36           43           39
          31           44           40
          40           45           37
          38           45           30
          37           45           38
          48           56           54
          23           51           22
          54           57           48
           6           61           52
           7           29            1
           3           23           22
           6           52            7
           7           52           29
          24           51           23
          48           61            6
          29           52           28
          28           52           50
          54           56           53
          24           58           51
          57           62           59
          57           59           50
          49           54           53
          21           49           20
          49           53           20
           5           48            6
          20           53           19
          26           47           25
          28           50           27
          51           63           22
           4           56            5
          55           63           51
          49           55           54
           5           56           48
          51           58           55
          47           58           25
           0           60            4
          19           60            0
          22           63           21
          25           58           24
          49           63           55
          59           62           47
          55           58           47
          27           59           26
          26           59           47
          50           59           27
          52           61           50
           4           60           56
          50           61           57
          53           60           19
          21           63           49
          56           60           53
          57           61           48
          54           62           57
          47           62           55
          55           62           54
