 # xm_ ym_ zm_ mi_ ms_ mf_
#       122        6
#       122        6
 0.61439512E+00 -0.38789226E+00  0.11911644E+00  0.11911644E+00  0.00000000E+00  0.10000000E+01
 0.26593621E+00 -0.26241846E+00  0.16096899E+00  0.16096899E+00  0.00000000E+00  0.10000000E+01
 0.53409467E+00 -0.50099260E+00  0.11837145E+00  0.11837145E+00  0.00000000E+00  0.10000000E+01
-0.52275703E+00  0.16123194E+00  0.14195951E+00  0.14195951E+00  0.00000000E+00  0.10000000E+01
-0.80132199E+00  0.17666354E+00  0.10687261E+00  0.10687261E+00  0.00000000E+00  0.10000000E+01
-0.17975779E+00  0.82523494E+00  0.10377577E+00  0.10377577E+00  0.00000000E+00  0.10000000E+01
-0.39578172E+00  0.46474139E+00  0.13411144E+00  0.13411144E+00  0.00000000E+00  0.10000000E+01
-0.64601338E+00  0.90390521E-01  0.12876675E+00  0.12876675E+00  0.00000000E+00  0.10000000E+01
-0.86273015E-01  0.90530861E+00  0.95568020E-01  0.95568020E-01  0.00000000E+00  0.10000000E+01
-0.90530861E+00  0.86273015E-01  0.95568020E-01  0.95568020E-01  0.00000000E+00  0.10000000E+01
-0.29267251E+00  0.53622069E+00  0.13405120E+00  0.13405120E+00  0.00000000E+00  0.10000000E+01
-0.15892268E+00  0.70541668E+00  0.11957281E+00  0.11957281E+00  0.00000000E+00  0.10000000E+01
-0.52463749E+00  0.29190966E+00  0.13537584E+00  0.13537584E+00  0.00000000E+00  0.10000000E+01
-0.83999712E+00  0.34333020E+00  0.95811831E-01  0.95811831E-01  0.00000000E+00  0.10000000E+01
-0.37347911E+00  0.33209194E+00  0.14756249E+00  0.14756249E+00  0.00000000E+00  0.10000000E+01
-0.55141519E+00  0.72786826E+00  0.95101499E-01  0.95101499E-01  0.00000000E+00  0.10000000E+01
-0.37674365E+00  0.70841420E-01  0.16002766E+00  0.16002766E+00  0.00000000E+00  0.10000000E+01
-0.65437911E-01  0.61882369E+00  0.13261083E+00  0.13261083E+00  0.00000000E+00  0.10000000E+01
-0.78188328E-01  0.38057281E+00  0.15952288E+00  0.15952288E+00  0.00000000E+00  0.10000000E+01
-0.73452313E+00  0.42388121E+00  0.10333093E+00  0.10333093E+00  0.00000000E+00  0.10000000E+01
-0.14362624E+00  0.49939649E+00  0.14524012E+00  0.14524012E+00  0.00000000E+00  0.10000000E+01
-0.61004234E-01  0.14433757E+00  0.17646988E+00  0.17646988E+00  0.00000000E+00  0.10000000E+01
-0.14433757E+00  0.61004234E-01  0.17646988E+00  0.17646988E+00  0.00000000E+00  0.10000000E+01
-0.60124981E+00  0.60601715E+00  0.10261218E+00  0.10261218E+00  0.00000000E+00  0.10000000E+01
-0.40919770E+00  0.74542566E+00  0.10303704E+00  0.10303704E+00  0.00000000E+00  0.10000000E+01
-0.13919256E+00  0.27491037E+00  0.16679343E+00  0.16679343E+00  0.00000000E+00  0.10000000E+01
-0.30796895E+00  0.65890755E+00  0.11902270E+00  0.11902270E+00  0.00000000E+00  0.10000000E+01
-0.74087868E+00  0.56919294E+00  0.92489052E-01  0.92489052E-01  0.00000000E+00  0.10000000E+01
-0.27108122E+00  0.13184565E+00  0.16733815E+00  0.16733815E+00  0.00000000E+00  0.10000000E+01
-0.34642445E+00  0.86391007E+00  0.92919533E-01  0.92919533E-01  0.00000000E+00  0.10000000E+01
-0.61439512E+00  0.38789226E+00  0.11911644E+00  0.11911644E+00  0.00000000E+00  0.10000000E+01
-0.26593621E+00  0.26241846E+00  0.16096899E+00  0.16096899E+00  0.00000000E+00  0.10000000E+01
-0.53409467E+00  0.50099260E+00  0.11837145E+00  0.11837145E+00  0.00000000E+00  0.10000000E+01
-0.18834462E+00 -0.80877839E+00  0.10559988E+00  0.10559988E+00  0.00000000E+00  0.10000000E+01
-0.82520040E+00 -0.17918553E+00  0.10379587E+00  0.10379587E+00  0.00000000E+00  0.10000000E+01
-0.90530861E+00 -0.86273015E-01  0.95568020E-01  0.95568020E-01  0.00000000E+00  0.10000000E+01
-0.86273015E-01 -0.90530861E+00  0.95568020E-01  0.95568020E-01  0.00000000E+00  0.10000000E+01
-0.53676506E+00 -0.29059174E+00  0.13411646E+00  0.13411646E+00  0.00000000E+00  0.10000000E+01
-0.46007648E+00 -0.38767475E+00  0.13521951E+00  0.13521951E+00  0.00000000E+00  0.10000000E+01
-0.70535336E+00 -0.15787354E+00  0.11961110E+00  0.11961110E+00  0.00000000E+00  0.10000000E+01
-0.16147117E+00 -0.67301951E+00  0.12361224E+00  0.12361224E+00  0.00000000E+00  0.10000000E+01
-0.35501129E+00 -0.84745353E+00  0.94398412E-01  0.94398412E-01  0.00000000E+00  0.10000000E+01
-0.72772435E+00 -0.54903077E+00  0.95294861E-01  0.95294861E-01  0.00000000E+00  0.10000000E+01
-0.69125863E-01 -0.37340730E+00  0.16037866E+00  0.16037866E+00  0.00000000E+00  0.10000000E+01
-0.61879491E+00 -0.64961027E-01  0.13262037E+00  0.13262037E+00  0.00000000E+00  0.10000000E+01
-0.38128986E+00 -0.78968868E-01  0.15943768E+00  0.15943768E+00  0.00000000E+00  0.10000000E+01
-0.50008477E+00 -0.14392990E+00  0.14515171E+00  0.14515171E+00  0.00000000E+00  0.10000000E+01
-0.61004234E-01 -0.14433757E+00  0.17646988E+00  0.17646988E+00  0.00000000E+00  0.10000000E+01
-0.14433757E+00 -0.61004234E-01  0.17646988E+00  0.17646988E+00  0.00000000E+00  0.10000000E+01
-0.59399562E-01 -0.60288306E+00  0.13469372E+00  0.13469372E+00  0.00000000E+00  0.10000000E+01
-0.32585538E+00 -0.36442021E+00  0.14881513E+00  0.14881513E+00  0.00000000E+00  0.10000000E+01
-0.28691083E+00 -0.58506355E+00  0.12885538E+00  0.12885538E+00  0.00000000E+00  0.10000000E+01
-0.43698053E+00 -0.73839626E+00  0.10205761E+00  0.10205761E+00  0.00000000E+00  0.10000000E+01
-0.39575352E+00 -0.61176517E+00  0.11885382E+00  0.11885382E+00  0.00000000E+00  0.10000000E+01
-0.60729147E+00 -0.59528211E+00  0.10303259E+00  0.10303259E+00  0.00000000E+00  0.10000000E+01
-0.57061118E+00 -0.73729540E+00  0.92731696E-01  0.92731696E-01  0.00000000E+00  0.10000000E+01
-0.74524722E+00 -0.40624102E+00  0.10323950E+00  0.10323950E+00  0.00000000E+00  0.10000000E+01
-0.27562743E+00 -0.13997310E+00  0.16671167E+00  0.16671167E+00  0.00000000E+00  0.10000000E+01
-0.65870032E+00 -0.30453538E+00  0.11923438E+00  0.11923438E+00  0.00000000E+00  0.10000000E+01
-0.13013010E+00 -0.26774486E+00  0.16763683E+00  0.16763683E+00  0.00000000E+00  0.10000000E+01
-0.86387553E+00 -0.34585219E+00  0.92949710E-01  0.92949710E-01  0.00000000E+00  0.10000000E+01
-0.12852542E+00 -0.47629036E+00  0.14830271E+00  0.14830271E+00  0.00000000E+00  0.10000000E+01
-0.26141996E+00 -0.26338040E+00  0.16120951E+00  0.16120951E+00  0.00000000E+00  0.10000000E+01
-0.25396508E+00 -0.47166773E+00  0.14333077E+00  0.14333077E+00  0.00000000E+00  0.10000000E+01
-0.49702887E+00 -0.52162389E+00  0.11991160E+00  0.11991160E+00  0.00000000E+00  0.10000000E+01
