 # xm_ ym_ zm_ mi_ ms_ mf_
#       122        6
#       122        6
 0.52275703E+00  0.16123194E+00  0.14268227E+00  0.14195951E+00 -0.23109901E-03  0.10000000E+01
 0.80132199E+00  0.17666354E+00  0.10540268E+00  0.10687261E+00  0.47667808E-03  0.10000000E+01
 0.17975779E+00  0.82523494E+00  0.10226637E+00  0.10377577E+00  0.48944896E-03  0.10000000E+01
 0.39578172E+00  0.46474139E+00  0.13376436E+00  0.13411144E+00  0.11774720E-03  0.10000000E+01
 0.64601338E+00  0.90390521E-01  0.12833408E+00  0.12876675E+00  0.14465129E-03  0.10000000E+01
 0.90530861E+00  0.86273015E-01  0.94339061E-01  0.95568020E-01  0.39943895E-03  0.10000000E+01
 0.86273015E-01  0.90530861E+00  0.94342547E-01  0.95568020E-01  0.39786328E-03  0.10000000E+01
 0.29267251E+00  0.53622069E+00  0.13410591E+00  0.13405120E+00 -0.12288085E-04  0.10000000E+01
 0.15892268E+00  0.70541668E+00  0.11870366E+00  0.11957281E+00  0.28564542E-03  0.10000000E+01
 0.52463749E+00  0.29190966E+00  0.13491260E+00  0.13537584E+00  0.15557339E-03  0.10000000E+01
 0.83999712E+00  0.34333020E+00  0.94444613E-01  0.95811831E-01  0.44306916E-03  0.10000000E+01
 0.37347911E+00  0.33209194E+00  0.14952186E+00  0.14756249E+00 -0.64369677E-03  0.10000000E+01
 0.55141519E+00  0.72786826E+00  0.93784734E-01  0.95101499E-01  0.42649435E-03  0.10000000E+01
 0.37674365E+00  0.70841420E-01  0.16291501E+00  0.16002766E+00 -0.94706896E-03  0.10000000E+01
 0.65437911E-01  0.61882369E+00  0.13232778E+00  0.13261083E+00  0.96383839E-04  0.10000000E+01
 0.78188328E-01  0.38057281E+00  0.16206213E+00  0.15952288E+00 -0.82848551E-03  0.10000000E+01
 0.73452313E+00  0.42388121E+00  0.10187135E+00  0.10333093E+00  0.47449949E-03  0.10000000E+01
 0.14362624E+00  0.49939649E+00  0.14636692E+00  0.14524012E+00 -0.36678832E-03  0.10000000E+01
 0.14433757E+00  0.61004234E-01  0.18178800E+00  0.17646988E+00 -0.17574658E-02  0.10000000E+01
 0.61004234E-01  0.14433757E+00  0.18191564E+00  0.17646988E+00 -0.18134093E-02  0.10000000E+01
 0.60124981E+00  0.60601715E+00  0.10108930E+00  0.10261218E+00  0.49442702E-03  0.10000000E+01
 0.40919770E+00  0.74542566E+00  0.10157328E+00  0.10303704E+00  0.47575251E-03  0.10000000E+01
 0.13919256E+00  0.27491037E+00  0.17061659E+00  0.16679343E+00 -0.12595757E-02  0.10000000E+01
 0.30796895E+00  0.65890755E+00  0.11785543E+00  0.11902270E+00  0.37986805E-03  0.10000000E+01
 0.74087868E+00  0.56919294E+00  0.90930627E-01  0.92489052E-01  0.50268595E-03  0.10000000E+01
 0.27108122E+00  0.13184565E+00  0.17101782E+00  0.16733815E+00 -0.12075258E-02  0.10000000E+01
 0.34642445E+00  0.86391007E+00  0.91457132E-01  0.92919533E-01  0.47319558E-03  0.10000000E+01
 0.61439512E+00  0.38789226E+00  0.11816627E+00  0.11911644E+00  0.31112059E-03  0.10000000E+01
 0.26593621E+00  0.26241846E+00  0.16336391E+00  0.16096899E+00 -0.77706036E-03  0.10000000E+01
 0.53409467E+00  0.50099260E+00  0.11733566E+00  0.11837145E+00  0.33885101E-03  0.10000000E+01
 0.52275703E+00 -0.16123194E+00  0.14268262E+00  0.14195951E+00 -0.23075153E-03  0.10000000E+01
 0.80132199E+00 -0.17666354E+00  0.10540271E+00  0.10687261E+00  0.47672353E-03  0.10000000E+01
 0.17975779E+00 -0.82523494E+00  0.10225221E+00  0.10377577E+00  0.49368819E-03  0.10000000E+01
 0.39578172E+00 -0.46474139E+00  0.13376537E+00  0.13411144E+00  0.11718910E-03  0.10000000E+01
 0.64601338E+00 -0.90390521E-01  0.12833386E+00  0.12876675E+00  0.14455462E-03  0.10000000E+01
 0.86273015E-01 -0.90530861E+00  0.94360153E-01  0.95568020E-01  0.39247206E-03  0.10000000E+01
