 # xb yb zb ideal background shim total error
# 8       697
# 8       697
 0.42000000E+00 -0.72000000E+00  0.00000000E+00  0.25026190E+01  0.25138095E+01 -0.11402437E-01  0.25024071E+01 -0.21193736E-03
 0.48000000E+00 -0.72000000E+00  0.00000000E+00  0.24999907E+01  0.25124954E+01 -0.11924989E-01  0.25005704E+01  0.57967109E-03
-0.60000000E+00 -0.66000000E+00  0.00000000E+00  0.24979160E+01  0.25114580E+01 -0.12598090E-01  0.24988599E+01  0.94389980E-03
-0.54000000E+00 -0.66000000E+00  0.00000000E+00  0.25010106E+01  0.25130053E+01 -0.12802469E-01  0.25002028E+01 -0.80775880E-03
-0.48000000E+00 -0.66000000E+00  0.00000000E+00  0.25041320E+01  0.25145660E+01 -0.10522884E-01  0.25040431E+01 -0.88884465E-04
-0.42000000E+00 -0.66000000E+00  0.00000000E+00  0.25071958E+01  0.25160979E+01 -0.86122830E-02  0.25074856E+01  0.28979700E-03
-0.36000000E+00 -0.66000000E+00  0.00000000E+00  0.25101106E+01  0.25175553E+01 -0.68062450E-02  0.25107491E+01  0.63844500E-03
-0.30000000E+00 -0.66000000E+00  0.00000000E+00  0.25127822E+01  0.25188911E+01 -0.48149285E-02  0.25140762E+01  0.12940015E-02
-0.24000000E+00 -0.66000000E+00  0.00000000E+00  0.25151185E+01  0.25200592E+01 -0.41585407E-02  0.25159007E+01  0.78222931E-03
-0.18000000E+00 -0.66000000E+00  0.00000000E+00  0.25170350E+01  0.25210175E+01 -0.39999864E-02  0.25170175E+01 -0.17506442E-04
-0.12000000E+00 -0.66000000E+00  0.00000000E+00  0.25184598E+01  0.25217299E+01 -0.30617503E-02  0.25186682E+01  0.20833968E-03
-0.60000000E-01 -0.66000000E+00  0.00000000E+00  0.25193378E+01  0.25221689E+01 -0.17647644E-02  0.25204041E+01  0.10663456E-02
 0.00000000E+00 -0.66000000E+00  0.00000000E+00  0.25196343E+01  0.25223172E+01 -0.15330621E-02  0.25207841E+01  0.11497679E-02
 0.60000000E-01 -0.66000000E+00  0.00000000E+00  0.25193378E+01  0.25221689E+01 -0.23358589E-02  0.25198330E+01  0.49525110E-03
 0.12000000E+00 -0.66000000E+00  0.00000000E+00  0.25184598E+01  0.25217299E+01 -0.32545455E-02  0.25184754E+01  0.15544523E-04
 0.18000000E+00 -0.66000000E+00  0.00000000E+00  0.25170350E+01  0.25210175E+01 -0.42319122E-02  0.25167856E+01 -0.24943216E-03
 0.24000000E+00 -0.66000000E+00  0.00000000E+00  0.25151185E+01  0.25200592E+01 -0.53865537E-02  0.25146727E+01 -0.44578367E-03
 0.30000000E+00 -0.66000000E+00  0.00000000E+00  0.25127822E+01  0.25188911E+01 -0.63384292E-02  0.25125527E+01 -0.22949924E-03
 0.36000000E+00 -0.66000000E+00  0.00000000E+00  0.25101106E+01  0.25175553E+01 -0.75579389E-02  0.25099974E+01 -0.11324892E-03
 0.42000000E+00 -0.66000000E+00  0.00000000E+00  0.25071958E+01  0.25160979E+01 -0.96245237E-02  0.25064734E+01 -0.72244370E-03
 0.48000000E+00 -0.66000000E+00  0.00000000E+00  0.25041320E+01  0.25145660E+01 -0.11719283E-01  0.25028467E+01 -0.12852832E-02
 0.54000000E+00 -0.66000000E+00  0.00000000E+00  0.25010106E+01  0.25130053E+01 -0.12205214E-01  0.25008001E+01 -0.21050360E-03
 0.60000000E+00 -0.66000000E+00  0.00000000E+00  0.24979160E+01  0.25114580E+01 -0.11749920E-01  0.24997081E+01  0.17920701E-02
-0.66000000E+00 -0.60000000E+00  0.00000000E+00  0.24979160E+01  0.25114580E+01 -0.11715754E-01  0.24997423E+01  0.18262361E-02
-0.60000000E+00 -0.60000000E+00  0.00000000E+00  0.25013597E+01  0.25131799E+01 -0.11889924E-01  0.25012899E+01 -0.69773759E-04
-0.54000000E+00 -0.60000000E+00  0.00000000E+00  0.25049193E+01  0.25149597E+01 -0.10263662E-01  0.25046960E+01 -0.22330152E-03
-0.48000000E+00 -0.60000000E+00  0.00000000E+00  0.25085098E+01  0.25167549E+01 -0.75162335E-02  0.25092386E+01  0.72888646E-03
-0.42000000E+00 -0.60000000E+00  0.00000000E+00  0.25120340E+01  0.25185170E+01 -0.62515410E-02  0.25122655E+01  0.23144897E-03
-0.36000000E+00 -0.60000000E+00  0.00000000E+00  0.25153868E+01  0.25201934E+01 -0.47401681E-02  0.25154532E+01  0.66421941E-04
-0.30000000E+00 -0.60000000E+00  0.00000000E+00  0.25184598E+01  0.25217299E+01 -0.27961551E-02  0.25189338E+01  0.47393492E-03
-0.24000000E+00 -0.60000000E+00  0.00000000E+00  0.25211472E+01  0.25230736E+01 -0.20040414E-02  0.25210696E+01 -0.77661430E-04
-0.18000000E+00 -0.60000000E+00  0.00000000E+00  0.25233518E+01  0.25241759E+01 -0.15066058E-02  0.25226693E+01 -0.68250580E-03
-0.12000000E+00 -0.60000000E+00  0.00000000E+00  0.25249907E+01  0.25249954E+01 -0.38574400E-03  0.25246096E+01 -0.38108400E-03
-0.60000000E-01 -0.60000000E+00  0.00000000E+00  0.25260006E+01  0.25255003E+01  0.36959429E-03  0.25258699E+01 -0.13068571E-03
 0.00000000E+00 -0.60000000E+00  0.00000000E+00  0.25263417E+01  0.25256709E+01  0.77609291E-04  0.25257485E+01 -0.59324071E-03
 0.60000000E-01 -0.60000000E+00  0.00000000E+00  0.25260006E+01  0.25255003E+01 -0.31225979E-03  0.25251880E+01 -0.81253979E-03
 0.12000000E+00 -0.60000000E+00  0.00000000E+00  0.25249907E+01  0.25249954E+01 -0.26507583E-03  0.25247303E+01 -0.26041583E-03
 0.18000000E+00 -0.60000000E+00  0.00000000E+00  0.25233518E+01  0.25241759E+01 -0.79736784E-03  0.25233785E+01  0.26732158E-04
 0.24000000E+00 -0.60000000E+00  0.00000000E+00  0.25211472E+01  0.25230736E+01 -0.20916851E-02  0.25209819E+01 -0.16530507E-03
