 # xm_ ym_ zm_ mi_ ms_ mf_
#       122        6
#       122        6
 0.53409467E+00  0.50099260E+00  0.11713630E+00  0.11837145E+00  0.99170270E-05  0.10000000E+01
 0.52275703E+00 -0.16123194E+00  0.14281683E+00  0.14195951E+00 -0.66414762E-05  0.10000000E+01
 0.80132199E+00 -0.17666354E+00  0.10512280E+00  0.10687261E+00  0.14023694E-04  0.10000000E+01
 0.17975779E+00 -0.82523494E+00  0.10196216E+00  0.10377577E+00  0.14552773E-04  0.10000000E+01
 0.39578172E+00 -0.46474139E+00  0.13369547E+00  0.13411144E+00  0.35264583E-05  0.10000000E+01
 0.64601338E+00 -0.90390521E-01  0.12824797E+00  0.12876675E+00  0.43221803E-05  0.10000000E+01
 0.86273015E-01 -0.90530861E+00  0.94129656E-01  0.95568020E-01  0.11546481E-04  0.10000000E+01
 0.90530861E+00 -0.86273015E-01  0.94104404E-01  0.95568020E-01  0.11759066E-04  0.10000000E+01
 0.29267251E+00 -0.53622069E+00  0.13410151E+00  0.13405120E+00 -0.48514774E-07  0.10000000E+01
 0.15892268E+00 -0.70541668E+00  0.11858875E+00  0.11957281E+00  0.80975165E-05  0.10000000E+01
 0.52463749E+00 -0.29190966E+00  0.13482065E+00  0.13537584E+00  0.45624819E-05  0.10000000E+01
 0.83999712E+00 -0.34333020E+00  0.94184657E-01  0.95811831E-01  0.12997769E-04  0.10000000E+01
 0.37347911E+00 -0.33209194E+00  0.14990378E+00  0.14756249E+00 -0.19227864E-04  0.10000000E+01
 0.55141519E+00 -0.72786826E+00  0.93535748E-01  0.95101499E-01  0.12414692E-04  0.10000000E+01
 0.37674365E+00 -0.70841420E-01  0.16348134E+00  0.16002766E+00 -0.28968393E-04  0.10000000E+01
 0.65437911E-01 -0.61882369E+00  0.13211136E+00  0.13261083E+00  0.44562455E-05  0.10000000E+01
 0.78188328E-01 -0.38057281E+00  0.16244321E+00  0.15952288E+00 -0.22782512E-04  0.10000000E+01
 0.73452313E+00 -0.42388121E+00  0.10159231E+00  0.10333093E+00  0.14076474E-04  0.10000000E+01
 0.14362624E+00 -0.49939649E+00  0.14666735E+00  0.14524012E+00 -0.12081931E-04  0.10000000E+01
 0.14433757E+00 -0.61004234E-01  0.18287389E+00  0.17646988E+00 -0.54001659E-04  0.10000000E+01
 0.61004234E-01 -0.14433757E+00  0.18290825E+00  0.17646988E+00 -0.53660310E-04  0.10000000E+01
 0.60124981E+00 -0.60601715E+00  0.10079823E+00  0.10261218E+00  0.14710830E-04  0.10000000E+01
 0.40919770E+00 -0.74542566E+00  0.10129413E+00  0.10303704E+00  0.14085201E-04  0.10000000E+01
 0.13919256E+00 -0.27491037E+00  0.17143433E+00  0.16679343E+00 -0.39002414E-04  0.10000000E+01
 0.30796895E+00 -0.65890755E+00  0.11762375E+00  0.11902270E+00  0.11170780E-04  0.10000000E+01
 0.74087868E+00 -0.56919294E+00  0.90637428E-01  0.92489052E-01  0.14348480E-04  0.10000000E+01
 0.27108122E+00 -0.13184565E+00  0.17171961E+00  0.16733815E+00 -0.34682991E-04  0.10000000E+01
 0.34642445E+00 -0.86391007E+00  0.91184762E-01  0.92919533E-01  0.13832065E-04  0.10000000E+01
 0.61439512E+00 -0.38789226E+00  0.11798195E+00  0.11911644E+00  0.92885588E-05  0.10000000E+01
 0.26593621E+00 -0.26241846E+00  0.16380632E+00  0.16096899E+00 -0.23243989E-04  0.10000000E+01
 0.53409467E+00 -0.50099260E+00  0.11713670E+00  0.11837145E+00  0.99457490E-05  0.10000000E+01
-0.52275703E+00  0.16123194E+00  0.14280983E+00  0.14195951E+00 -0.65403156E-05  0.10000000E+01
-0.80132199E+00  0.17666354E+00  0.10515206E+00  0.10687261E+00  0.13849785E-04  0.10000000E+01
-0.17975779E+00  0.82523494E+00  0.10197863E+00  0.10377577E+00  0.14444616E-04  0.10000000E+01
-0.39578172E+00  0.46474139E+00  0.13369938E+00  0.13411144E+00  0.36198133E-05  0.10000000E+01
-0.64601338E+00  0.90390521E-01  0.12813116E+00  0.12876675E+00  0.51859449E-05  0.10000000E+01
-0.86273015E-01  0.90530861E+00  0.94108994E-01  0.95568020E-01  0.11714499E-04  0.10000000E+01
-0.90530861E+00  0.86273015E-01  0.94067197E-01  0.95568020E-01  0.12026497E-04  0.10000000E+01
-0.29267251E+00  0.53622069E+00  0.13410870E+00  0.13405120E+00 -0.24559702E-06  0.10000000E+01
-0.15892268E+00  0.70541668E+00  0.11853500E+00  0.11957281E+00  0.85140411E-05  0.10000000E+01
-0.52463749E+00  0.29190966E+00  0.13483628E+00  0.13537584E+00  0.44635603E-05  0.10000000E+01
-0.83999712E+00  0.34333020E+00  0.94171704E-01  0.95811831E-01  0.13060814E-04  0.10000000E+01
-0.37347911E+00  0.33209194E+00  0.14988820E+00  0.14756249E+00 -0.19294957E-04  0.10000000E+01
-0.55141519E+00  0.72786826E+00  0.93533335E-01  0.95101499E-01  0.12421689E-04  0.10000000E+01
-0.37674365E+00  0.70841420E-01  0.16368690E+00  0.16002766E+00 -0.30969449E-04  0.10000000E+01
-0.65437911E-01  0.61882369E+00  0.13226854E+00  0.13261083E+00  0.29277585E-05  0.10000000E+01
-0.78188328E-01  0.38057281E+00  0.16252503E+00  0.15952288E+00 -0.23861272E-04  0.10000000E+01
-0.73452313E+00  0.42388121E+00  0.10159630E+00  0.10333093E+00  0.14039952E-04  0.10000000E+01
-0.14362624E+00  0.49939649E+00  0.14659040E+00  0.14524012E+00 -0.11228406E-04  0.10000000E+01
-0.61004234E-01  0.14433757E+00  0.18279200E+00  0.17646988E+00 -0.52143081E-04  0.10000000E+01
-0.14433757E+00  0.61004234E-01  0.18305812E+00  0.17646988E+00 -0.55171794E-04  0.10000000E+01
-0.60124981E+00  0.60601715E+00  0.10080021E+00  0.10261218E+00  0.14701936E-04  0.10000000E+01
-0.40919770E+00  0.74542566E+00  0.10129340E+00  0.10303704E+00  0.14091705E-04  0.10000000E+01
-0.13919256E+00  0.27491037E+00  0.17144784E+00  0.16679343E+00 -0.39551741E-04  0.10000000E+01
-0.30796895E+00  0.65890755E+00  0.11763199E+00  0.11902270E+00  0.11188796E-04  0.10000000E+01
-0.74087868E+00  0.56919294E+00  0.90630258E-01  0.92489052E-01  0.14384341E-04  0.10000000E+01
-0.27108122E+00  0.13184565E+00  0.17162667E+00  0.16733815E+00 -0.34438081E-04  0.10000000E+01
-0.34642445E+00  0.86391007E+00  0.91179678E-01  0.92919533E-01  0.13895797E-04  0.10000000E+01
-0.61439512E+00  0.38789226E+00  0.11797982E+00  0.11911644E+00  0.93215093E-05  0.10000000E+01
-0.26593621E+00  0.26241846E+00  0.16379052E+00  0.16096899E+00 -0.22340963E-04  0.10000000E+01
-0.53409467E+00  0.50099260E+00  0.11713040E+00  0.11837145E+00  0.99687029E-05  0.10000000E+01
-0.18834462E+00 -0.80877839E+00  0.10386516E+00  0.10559988E+00  0.13958026E-04  0.10000000E+01
-0.82520040E+00 -0.17918553E+00  0.10201102E+00  0.10379587E+00  0.14336809E-04  0.10000000E+01
-0.90530861E+00 -0.86273015E-01  0.94131517E-01  0.95568020E-01  0.11579798E-04  0.10000000E+01
-0.86273015E-01 -0.90530861E+00  0.94065103E-01  0.95568020E-01  0.12054589E-04  0.10000000E+01
-0.53676506E+00 -0.29059174E+00  0.13405074E+00  0.13411646E+00  0.10116918E-05  0.10000000E+01
-0.46007648E+00 -0.38767475E+00  0.13511244E+00  0.13521951E+00  0.83306117E-06  0.10000000E+01
-0.70535336E+00 -0.15787354E+00  0.11849898E+00  0.11961110E+00  0.91515941E-05  0.10000000E+01
-0.16147117E+00 -0.67301951E+00  0.12276139E+00  0.12361224E+00  0.70256427E-05  0.10000000E+01
-0.35501129E+00 -0.84745353E+00  0.92705502E-01  0.94398412E-01  0.13479361E-04  0.10000000E+01
-0.72772435E+00 -0.54903077E+00  0.93743216E-01  0.95294861E-01  0.12344281E-04  0.10000000E+01
-0.69125863E-01 -0.37340730E+00  0.16358569E+00  0.16037866E+00 -0.27716853E-04  0.10000000E+01
-0.61879491E+00 -0.64961027E-01  0.13246052E+00  0.13262037E+00  0.16231372E-05  0.10000000E+01
-0.38128986E+00 -0.78968868E-01  0.16221420E+00  0.15943768E+00 -0.21646604E-04  0.10000000E+01
-0.50008477E+00 -0.14392990E+00  0.14653715E+00  0.14515171E+00 -0.11815731E-04  0.10000000E+01
-0.61004234E-01 -0.14433757E+00  0.18295090E+00  0.17646988E+00 -0.54132589E-04  0.10000000E+01
-0.14433757E+00 -0.61004234E-01  0.18269196E+00  0.17646988E+00 -0.51854637E-04  0.10000000E+01
-0.59399562E-01 -0.60288306E+00  0.13471280E+00  0.13469372E+00 -0.39045231E-06  0.10000000E+01
-0.32585538E+00 -0.36442021E+00  0.15086529E+00  0.14881513E+00 -0.15812810E-04  0.10000000E+01
-0.28691083E+00 -0.58506355E+00  0.12837248E+00  0.12885538E+00  0.41818050E-05  0.10000000E+01
-0.43698053E+00 -0.73839626E+00  0.10026858E+00  0.10205761E+00  0.14412661E-04  0.10000000E+01
-0.39575352E+00 -0.61176517E+00  0.11768946E+00  0.11885382E+00  0.95055405E-05  0.10000000E+01
-0.60729147E+00 -0.59528211E+00  0.10119328E+00  0.10303259E+00  0.14857318E-04  0.10000000E+01
-0.57061118E+00 -0.73729540E+00  0.90971992E-01  0.92731696E-01  0.13865074E-04  0.10000000E+01
-0.74524722E+00 -0.40624102E+00  0.10149158E+00  0.10323950E+00  0.14113361E-04  0.10000000E+01
-0.27562743E+00 -0.13997310E+00  0.17142612E+00  0.16671167E+00 -0.39233688E-04  0.10000000E+01
-0.65870032E+00 -0.30453538E+00  0.11791666E+00  0.11923438E+00  0.10527314E-04  0.10000000E+01
-0.13013010E+00 -0.26774486E+00  0.17225768E+00  0.16763683E+00 -0.36055281E-04  0.10000000E+01
-0.86387553E+00 -0.34585219E+00  0.91207708E-01  0.92949710E-01  0.13872531E-04  0.10000000E+01
-0.12852542E+00 -0.47629036E+00  0.14997727E+00  0.14830271E+00 -0.11990224E-04  0.10000000E+01
-0.26141996E+00 -0.26338040E+00  0.16413540E+00  0.16120951E+00 -0.25020527E-04  0.10000000E+01
-0.25396508E+00 -0.47166773E+00  0.14396988E+00  0.14333077E+00 -0.60828936E-05  0.10000000E+01
-0.49702887E+00 -0.52162389E+00  0.11874653E+00  0.11991160E+00  0.94716064E-05  0.10000000E+01
